Date,S&P,Nasdaq
2018-01-17,2802.560059,7298.279785
2018-01-18,2798.030029,7296.049805
2018-01-19,2810.300049,7336.379883
2018-01-22,2832.969971,7408.029785
2018-01-23,2839.129883,7460.290039
2018-01-24,2837.540039,7415.060059
2018-01-25,2839.25,7411.160156
2018-01-26,2872.870117,7505.77002
2018-01-29,2853.530029,7466.509766
2018-01-30,2822.429932,7402.47998
2018-01-31,2823.810059,7411.47998
2018-02-01,2821.97998,7385.859863
2018-02-02,2762.129883,7240.950195
2018-02-05,2648.939941,6967.529785
2018-02-06,2695.139893,7115.879883
2018-02-07,2681.659912,7051.97998
2018-02-08,2581,6777.160156
2018-02-09,2619.550049,6874.490234
2018-02-12,2656,6981.959961
2018-02-13,2662.939941,7013.509766
2018-02-14,2698.629883,7143.620117
2018-02-15,2731.199951,7256.430176
2018-02-16,2732.219971,7239.470215
2018-02-20,2716.26001,7234.310059
2018-02-21,2701.330078,7218.22998
2018-02-22,2703.959961,7210.089844
2018-02-23,2747.300049,7337.390137
2018-02-26,2779.600098,7421.459961
2018-02-27,2744.280029,7330.350098
2018-02-28,2713.830078,7273.009766
2018-03-01,2677.669922,7180.560059
2018-03-02,2691.25,7257.870117
2018-03-05,2720.939941,7330.709961
2018-03-06,2728.120117,7372.009766
2018-03-07,2726.800049,7396.649902
2018-03-08,2738.969971,7427.950195
2018-03-09,2786.570068,7560.810059
2018-03-12,2783.02002,7588.319824
2018-03-13,2765.310059,7511.009766
2018-03-14,2749.47998,7496.810059
2018-03-15,2747.330078,7481.740234
2018-03-16,2752.01001,7481.990234
2018-03-19,2712.919922,7344.240234
2018-03-20,2716.939941,7364.299805
2018-03-21,2711.929932,7345.290039
2018-03-22,2643.689941,7166.680176
2018-03-23,2588.26001,6992.669922
2018-03-26,2658.550049,7220.540039
2018-03-27,2612.620117,7008.810059
2018-03-28,2605,6949.22998
2018-03-29,2640.870117,7063.450195
2018-04-02,2581.879883,6870.120117
2018-04-03,2614.449951,6941.279785
2018-04-04,2644.689941,7042.109863
2018-04-05,2662.840088,7076.549805
2018-04-06,2604.469971,6915.109863
2018-04-09,2613.159912,6950.339844
2018-04-10,2656.870117,7094.299805
2018-04-11,2642.189941,7069.029785
2018-04-12,2663.98999,7140.25
2018-04-13,2656.300049,7106.649902
2018-04-16,2677.840088,7156.279785
